Numero exec.;10k;20k;50k;100k;200k;
BubbleSort;1038383300;3835448800;17408394600;64811931600;403859603300;
SelectionSort;176699600;1026498100;6483278300;29040019900;191351341100;
InsertionSort;93315500;289943100;1355783500;5582569100;81850412800;
QuickSort;5747000;9014700;19737000;32274200;75148600;
QuickSortRandom;4428700;6306200;14461000;31850900;78840400;
MergeSort;6260200;8791300;23655900;52094300;190948600;
CountingSort;1820000;2513500;2378600;3210700;5102400;
