Numero exec.;10k;20k;50k;100k;200k;
BubbleSort;415696300;1145541200;5067814100;28154263100;327459790400;
SelectionSort;373764200;1143671200;5622492000;21498333000;151976415400;
InsertionSort;196648400;697936600;3564778100;12188321200;156157470200;
QuickSort;140023900;279204500;850464700;1583472600;4335734200;
QuickSortRandom;3787300;5931700;13794200;25143600;65619000;
MergeSort;4767300;5491300;14599200;46473200;158836300;
CountingSort;2020000;2813100;1711200;1661100;4831500;
